V2 Solenoid Engine BOM,,,,
Component Category,Item,Cost,Side Note,Link
Foundation Structure,Base, $-   , I am making it locally with plywood to keep costs low by avoiding laser cutting 5mm wood ,
,Exoskeleton, $-   , I will pay for it ,
,, $-   ,,
Structural Components,Crankshaft Mount, $12.03 ," The mount has to be very stong as it houses the flywheel, crankshaft and sensors ",https://jlc3dp.com/3d-printing-quote?spm=Jlc3dp.Homepage
,Cylinder Mount Lower, $21.13 , The mount has to be strong and heat resistive ,https://jlc3dp.com/3d-printing-quote?spm=Jlc3dp.Homepage
,Spool Cap A1, $1.04 ,,https://jlc3dp.com/3d-printing-quote?spm=Jlc3dp.Homepage
,Spool Cap A2, $1.04 ,,https://jlc3dp.com/3d-printing-quote?spm=Jlc3dp.Homepage
,Spool Cap B1, $1.04 ,,https://jlc3dp.com/3d-printing-quote?spm=Jlc3dp.Homepage
,Spool Cap B2, $1.04 ,,https://jlc3dp.com/3d-printing-quote?spm=Jlc3dp.Homepage
,Cylinder A, $3.81 , These are the sleeves and need to be extremely heat resistive ,https://jlc3dp.com/3d-printing-quote?spm=Jlc3dp.Homepage
,Cylinder B, $3.81 , These are the sleeves and need to be extremely heat resistive ,https://jlc3dp.com/3d-printing-quote?spm=Jlc3dp.Homepage
,Mount Cap A1, $1.04 ,,https://jlc3dp.com/3d-printing-quote?spm=Jlc3dp.Homepage
,Mount Cap A2, $1.04 ,,https://jlc3dp.com/3d-printing-quote?spm=Jlc3dp.Homepage
,Mount Cap B1, $1.04 ,,https://jlc3dp.com/3d-printing-quote?spm=Jlc3dp.Homepage
,Mount Cap B2, $1.04 ,,https://jlc3dp.com/3d-printing-quote?spm=Jlc3dp.Homepage
,Yoke A, $-   ," This needs CNC, and as it was costing $39.25, I cancelled it (decreases efficiency significanty) ",
,Yoke B, $-   ," This needs CNC, and as it was costing $39.25, I cancelled it (decreases efficiency significanty) ",
,, $49.10 ,,
Mechanical Components,Plunger A, $-   ," Doing CNC will cost $38, so I chose to manage it locally instead (decreases efficiency) ",
,Plunger B, $-   ," Doing CNC will cost $38, so I chose to manage it locally instead (decreases efficiency) ",
,Piston Head A, $0.94 ,,https://jlc3dp.com/3d-printing-quote?spm=Jlc3dp.Homepage.1006
,Piston Head B, $0.94 ,,https://jlc3dp.com/3d-printing-quote?spm=Jlc3dp.Homepage.1006
,Piston Pin A, $-   ,,https://jlc3dp.com/3d-printing-quote?spm=Jlc3dp.Homepage.1006
,Piston Pin B, $-   ,,https://jlc3dp.com/3d-printing-quote?spm=Jlc3dp.Homepage.1006
,Connecting Rod A, $0.94 ,,https://jlc3dp.com/3d-printing-quote?spm=Jlc3dp.Homepage.1006
,Connecting Rod B, $0.94 ,,https://jlc3dp.com/3d-printing-quote?spm=Jlc3dp.Homepage.1006
,Crank A, $0.94 ,,https://jlc3dp.com/3d-printing-quote?spm=Jlc3dp.Homepage.1006
,Crank B, $0.94 ,,https://jlc3dp.com/3d-printing-quote?spm=Jlc3dp.Homepage.1006
,Axle, $0.94 ,,https://jlc3dp.com/3d-printing-quote?spm=Jlc3dp.Homepage.1006
,Flywheel, $42.41 ," It must be 1.5 kg, but I made it only 1 kg instead just to keep the CNC cost as low as possible. ",https://www.pcbway.com/rapid-prototyping/manufacture/?type=1
,Ball Bearings, $0.82 ,,https://robu.in/product/radial-ball-bearing-626zz-for-3d-printer-robot-4pcs/
,, $49.81 ,,
Electronic Components,Mean Well LRS-450-24, $43.43 , I switched from Mean Well LRS-600-24 (expensive) to this (cheaper) ,https://www.amazon.in/gp/product/B0CH4YY722/ref=ewc_pr_img_1?smid=A13K6Y4N7NSFDR&psc=1
